#Data tag : 19v3 , Norm tag: None
#run:fill,time,nls,ncms,delivered(/fb),recorded(/fb)
317087:6738,05/29/18 02:15:38,340,340,0.105226180,0.101232388
317089:6738,05/29/18 04:46:51,999,999,0.220225722,0.212904926
317182:6741,05/30/18 12:17:59,905,905,0.244501152,0.237203298
317213:6744,05/31/18 05:29:39,93,93,0.030373422,0.029210472
317279:6747,05/31/18 17:11:10,466,466,0.068311783,0.065891594
317291:6749,06/01/18 06:10:03,284,284,0.089554106,0.087239989
317292:6749,06/01/18 08:08:05,330,330,0.087646871,0.085006647
317297:6749,06/01/18 11:35:45,694,694,0.126773015,0.123169349
317320:6751,06/01/18 22:52:43,1478,1478,0.349530211,0.337540667
317340:6752,06/02/18 14:05:02,142,142,0.046492249,0.043472837
317392:6757,06/04/18 06:46:39,1386,1386,0.315873682,0.306985059
317435:6759,06/05/18 01:38:22,1184,1184,0.298119202,0.287698895
317438:6759,06/05/18 09:20:20,307,307,0.051746867,0.049709578
317484:6761,06/05/18 20:47:15,379,379,0.115200473,0.111463486
317488:6761,06/05/18 23:26:30,844,844,0.186916038,0.181128073
317527:6763,06/07/18 01:09:44,1092,1092,0.330756717,0.320293941
317591:6768,06/08/18 08:46:59,37,37,0.014037559,0.013641099
317626:6770,06/08/18 22:31:58,1730,1730,0.433811958,0.420115808
317640:6772,06/09/18 15:24:55,546,546,0.173851503,0.167689423
317641:6772,06/09/18 19:02:09,1390,1390,0.276436218,0.268315019
317649:6773,06/10/18 07:23:44,579,579,0.187337884,0.181005466
317650:6773,06/10/18 11:10:27,1303,1303,0.264123285,0.255812545
317661:6774,06/10/18 23:22:04,998,998,0.299017956,0.289453780
317663:6774,06/11/18 06:28:48,846,846,0.154951622,0.151150422
317683:6776,06/11/18 17:30:48,133,133,0.049301967,0.047264014
317696:6778,06/12/18 01:23:27,421,421,0.148639009,0.143266264
318733:6850,06/26/18 22:29:04,31,31,0.002804112,0.002613829
318828:6858,06/28/18 06:33:31,62,62,0.011914908,0.011492657
318872:6860,06/28/18 15:56:21,256,256,0.089048434,0.086210731
318874:6860,06/28/18 17:39:38,316,316,0.102969915,0.099565217
318876:6860,06/28/18 19:45:23,160,160,0.048736012,0.046587025
318877:6860,06/28/18 20:49:22,615,615,0.165061387,0.160548836
#Summary:
#nfill,nrun,nls,ncms,totdelivered(/fb),totrecorded(/fb)
#21,32,20346,20346,5.089291419,4.924883332
#Check JSON:
#(run,ls) in json but not in results: []
